Time,Vehicle,Driver,Date,Year,Engine Size (L),HP,Torque (Nm),0-100,Price (EUR)
8:32,"Porsche Boxster S (986.1, pre-facelift, 1999, 252 PS)",Horst von Saurma,1999,2021,2.0,300.0,380.0,4.7,52700.0
8:32,BMW Z3 M Roadster (E36/7),Horst von Saurma,1997,2022,2.0,255.0,400.0,5.2,42500.0
8:36,"Porsche Boxster (986.2, facelift, 2003, 2.7, 228 PS)",Horst von Saurma,2003,2021,2.0,300.0,380.0,4.7,52700.0
8:36.1,"Mercedes-Benz SL55 AMG (R230, second facelift, 2007, 517 PS)",Dierk Möller-Sonntag,2007,2015,6.2,622.0,635.0,3.2,188700.0
8:37,Mercedes-Benz C32 AMG (W203),Horst von Saurma,2001,2021,4.0,503.0,700.0,3.8,57800.0
8:38,"Mercedes-Benz SL500 (R230, pre-facelift, 2001, 306 PS)",Horst von Saurma,2001,2022,3.0,429.0,521.0,4.9,81812.5
8:40,"Audi TT Coupe (Mk2, 8J, 2007 2.0 TFSI, 200 PS)",Horst von Saurma,2007,2021,2.5,394.0,480.0,3.6,57460.0
8:40,Chevrolet Corvette C5,Horst von Saurma,1997,2021,6.2,490.0,630.0,2.8,50915.0
8:40.30,"Bentley Continental GT (Mk1, 2006, 560 PS)",Tom Kristensen,2006-03,2021,6.0,626.0,900.0,3.6,191250.0
8:41,Aston Martin DB7 Vantage,Horst von Saurma,1999,2021,4.0,503.0,685.0,3.5,120785.0
8:41,"Audi S1 (8X, 2014, 231 PS)",Horst von Saurma,2014,2022,3.0,349.0,500.0,4.4,44625.0
8:41,"Audi S3 (8L, 1999, 210 PS)",Horst von Saurma,1999,2022,2.5,394.0,500.0,3.9,48450.0
8:42,"Audi S4 (B5, 1998, 265 PS)",Horst von Saurma,1998,2022,3.0,349.0,500.0,4.4,44625.0
8:50,BMW M3 (E30),Horst von Saurma,2010,2022,4.4,617.0,750.0,3.1,110500.0
8:50,Tesla Model S P85D,,2015,2021,,1020.0,1424.0,1.98,111511.5
8:51,Mercedes-Benz C43 AMG (W202),Horst von Saurma,1998,2021,4.0,503.0,700.0,3.8,57800.0
